gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
ELOB	2.7805990255125297e-21	0.6626144893185466	0.94	0.732	5.5197671255449225e-17
B3GNT7	2.9100502274993363e-22	0.6549143778726777	0.35	0.06	5.7767407066089324e-18
CCDC112	2.990183703653293e-14	0.6540957720409082	0.54	0.278	5.935813670122153e-10
UPF3A	4.3530846931575056e-12	0.6534987660123588	0.71	0.499	8.641308424386965e-8
LGALS9	5.1752444973456994e-18	0.6524750107457903	0.613	0.309	1.0273377851680948e-13
MPC2	2.514166262527374e-16	0.6516659317243807	0.723	0.455	4.99087144774309e-12
NEXN	1.3492353433043511e-16	0.647345769357554	0.28	0.052	2.6783670799934676e-12
BANF1	3.1721317317087626e-16	0.6466587016852237	0.733	0.494	6.296998700615065e-12
LY6E	1.6746093714201611e-18	0.645617394473487	0.527	0.2	3.324267063206162e-14
ABHD12B	2.6315948068763432e-20	0.6421138429601885	0.28	0.034	5.223978851130229e-16
ZMAT3	7.227986311875563e-10	0.6413819681277514	0.343	0.151	1.4348275627704182e-5
WDR49	1.2714722281721272e-16	0.6377768300005713	0.33	0.083	2.5239995201444897e-12
CCNG2	2.3181802539932763e-14	0.6371423972905135	0.56	0.273	4.601819622202053e-10
POLR2H	1.138666968991271e-15	0.6363330386570164	0.49	0.216	2.260367800144572e-11
DDHD1	3.117260955578015e-14	0.6358941131698679	0.63	0.358	6.188074722917917e-10
LHFPL2	1.8391954759751195e-18	0.6336443165732364	0.77	0.429	3.65098693935821e-14
FKBP1A	2.3327048949729747e-13	0.632288578271273	0.77	0.577	4.630652487010852e-9
IL1R2	2.7577360759245194e-21	0.6315190196405458	0.257	0.018	5.4743818843177637e-17
HYI	2.1331949781027812e-16	0.6308234473807313	0.54	0.257	4.234605351031831e-12
SFMBT2	1.865141278159637e-15	0.6303744192347801	0.62	0.327	3.7024919512746955e-11
SP140	6.885494459739131e-20	0.6286998616068109	0.277	0.034	1.366839505202815e-15
EVA1B	2.3548559859515533e-13	0.6270250594979554	0.197	0.029	4.674624617712428e-9
TMSB10	1.8556738319717616e-25	0.6269689834486485	1	0.997	3.683698123847144e-21
ZDHHC14	2.44545987206433e-13	0.6255769616236166	0.57	0.309	4.854482392034901e-9
ATP5IF1	1.3119761640345156e-17	0.6226855729900009	0.91	0.771	2.604403883224917e-13
NDUFB4	7.84696360819164e-20	0.6207624187117591	0.917	0.706	1.5577007458621225e-15
RHOC	1.4492812721862442e-14	0.6198146431292636	0.54	0.255	2.876968253416913e-10
S100A11	4.386482101948443e-18	0.6197361874114382	0.88	0.54	8.707605620577854e-14
MNAT1	5.627816597755718e-16	0.6183937845934565	0.69	0.405	1.1171778728204876e-11
LSP1	6.435205263887287e-9	0.6180306873611645	0.947	0.839	1.2774525969342653e-4
MYL6B	6.356424434956076e-16	0.618016352377065	0.713	0.405	1.2618138145831307e-11
SMOC2	1.7982321239075145e-25	0.6162295288252213	0.273	0.008	3.569670589168807e-21
HMX3	1.941794413508084e-19	0.6149533082319831	0.217	0.008	3.854656090254898e-15
ERC2	5.650189390947878e-19	0.612709210547945	0.203	0.005	1.1216190959970633e-14
LY6H	6.984412707345366e-12	0.6109224699869048	0.123	0.003	1.3864757665351287e-7
SDHAF3	7.320458557977474e-13	0.6107909401007245	0.57	0.314	1.4531842283441083e-8
TMSB4X	7.479969012045826e-26	0.6098980653327244	1	0.997	1.4848486485812169e-21
RORB	5.0627191589833207e-14	0.6090432964493279	0.147	0.003	1.005000380249779e-9
CHML	1.9108002965418243e-6	0.6058842850908179	0.647	0.475	0.03793129668665175
PLP1	1.444369781577095e-20	0.6040398233253742	0.22	0.005	2.8672184534086913e-16
SEC61G	1.049160386620605e-15	0.6033423689578132	0.957	0.839	2.0826882834805632e-11
ICAM3	7.474316475187653e-15	0.601835345247535	0.633	0.351	1.483726563489501e-10
MTCL1	5.2586746778703196e-21	0.5993376001570162	0.3	0.036	1.0438995103040372e-16
TSPO	4.6034058081263314e-11	0.5992370311330688	0.727	0.491	9.13822086971158e-7
HCK	9.728638071792598e-18	0.5976057734861133	0.403	0.119	1.9312319436315486e-13
MT1E	1.6281701640678383e-26	0.5965298307194937	0.297	0.013	3.232080592691066e-22
GALNT7	1.075552663431527e-12	0.595643162304627	0.62	0.345	2.1350795921779245e-8
ISG15	5.969714313148236e-15	0.5940849010150557	0.497	0.2	1.1850479883030564e-10
LIMD2	1.166634507972026e-16	0.592801557277767	0.72	0.434	2.3158861617752686e-12
KIF17	1.0749277911891606e-15	0.5920120599037163	0.427	0.153	2.1338391582896027e-11
RABAC1	8.892586520137863e-17	0.5897862042138207	0.877	0.657	1.7652673501125671e-12
FCRLA	1.2508730348577449e-14	0.5881234110514544	0.58	0.278	2.483108061496109e-10
MARCKS	1.4330877102121085e-9	0.5855380821072416	0.187	0.044	2.8448224135420567e-5
TRAF3IP3	2.0684531342704817e-5	0.5838558269768541	0.623	0.468	0.41060863168403333
CWC27	3.1981665919834613e-13	0.5835443142672856	0.5	0.247	6.348680501746369e-9
FCRL4	2.1652599098755495e-8	0.5825938801379921	0.087	0.003	4.2982574470939533e-4
TLCD5	2.672778642582212e-15	0.5815928210558652	0.36	0.109	5.3057328833899495e-11
DBI	3.432506018051561e-14	0.580376104392089	0.947	0.813	6.813867696434154e-10
HMGN1	1.498783629980018e-27	0.5797690161748603	0.993	0.948	2.975235383873334e-23
SAP18	3.741797201062016e-18	0.5784772991927642	0.957	0.79	7.427841623828208e-14
PLAUR	5.075483008989357e-9	0.576768315570035	0.397	0.203	1.0075341321144773e-4
NDUFS6	1.244750576284911e-16	0.5758393266896875	0.893	0.673	2.470954368983177e-12
BCL7C	8.140193068404101e-11	0.5751202238861545	0.52	0.286	1.6159097260088983e-6
MIS18BP1	7.411850689329038e-12	0.5750995228859974	0.877	0.709	1.4713264803387072e-7
GCSH	2.6592445948023575e-14	0.574647454178444	0.49	0.221	5.27886644514216e-10
MXRA7	6.67013757439121e-14	0.5702921368120079	0.31	0.088	1.324089009892399e-9
TIFA	1.1421622360129744e-10	0.5696167906929603	0.387	0.182	2.2673062547093557e-6
IDH2	6.43370424112703e-14	0.5695327416869838	0.747	0.452	1.2771546289061267e-9
SASH3	2.0092568020840145e-13	0.5677817801811484	0.717	0.455	3.988575677816977e-9
ISOC2	1.2020568594996833e-15	0.5666623570006315	0.403	0.14	2.3862030717928214e-11
SUMO2	3.8759892092229834e-20	0.5659590322270476	0.977	0.868	7.694226179228544e-16
SRP9	1.7782534066188706e-16	0.565385872122387	0.907	0.706	3.53001083747912e-12
SMIM30	1.7316351313760454e-14	0.5649385182604063	0.613	0.327	3.437468899294588e-10
TRAPPC1	1.611184426710026e-15	0.5632770838938677	0.853	0.683	3.1983622054620726e-11
DDOST	2.1565287502059536e-15	0.56143942283174475	0.89	0.732	4.280925222033839e-11
RNF181	8.090532879581991e-14	0.5607152396947297	0.74	0.486	1.6060516819258211e-9
MAT2A	5.856950005438447e-12	0.5563515944050212	0.683	0.455	1.162663145579586e-7
SMAP1	4.0989611194268477e-13	0.556076922848825	0.54	0.265	8.136847718174235e-9
UQCRH	2.0221206539204238e-17	0.5558220305739732	0.943	0.8	4.0141117100974335e-13
PTEN	1.6407818604532146e-16	0.5544195481846148	0.897	0.681	3.2571160711856762e-12
LAGE3	4.520638097095314e-12	0.5541947226862626	0.6	0.364	8.973918686543909e-8
ECH1	1.2013085424110098e-13	0.5541900266367603	0.687	0.436	2.3847175875400958e-9
FCHSD2	4.870758784431443e-12	0.5535148924906692	0.903	0.761	9.668943262974858e-8
KLHL33	1.3092107041701285e-16	0.5533989467017579	0.327	0.075	2.598914168848122e-12
SYTL2	3.0632521553140747e-19	0.5467656381210456	0.267	0.031	6.0808618535139695e-15
SF3B6	4.0463313583598095e-16	0.5445132176631036	0.843	0.59	8.032372379480058e-12
COX6C	1.296167973378736e-19	0.5437380205047435	0.973	0.873	2.573023043954129e-15
TLR10	4.012093734698357e-12	0.5434366706486913	0.4	0.171	7.964407272749708e-8
FTL	1.3193104070988172e-23	0.54258624686081	1	0.94	2.618963089131862e-19
CD84	6.259692948859859e-13	0.5415602492146145	0.57	0.278	1.2426116472781705e-8
IFI27L2	8.051021353816621e-15	0.5415099684826008	0.693	0.387	1.5982082489461375e-10
UBE2I	1.725637464294497e-16	0.5401170586481068	0.887	0.639	3.4255629303710056e-12
HPS4	1.6023823374033182e-11	0.5401102906408729	0.543	0.301	3.1808891779793267e-7
MGST3	3.164396082976223e-11	0.5396446397197245	0.69	0.46	6.2816426643161e-7
DERL3	9.937795085325478e-11	0.5392349539739993	0.863	0.613	1.972751702387961e-6
MRPL20	7.476694091984273e-14	0.5385536875728882	0.8	0.551	1.484198544199798e-9
CNTROB	9.81818841266624e-15	0.5356810127093222	0.373	0.127	1.9490085817983753e-10
ZBTB8OS	7.099582324659244e-14	0.5340462502777245	0.667	0.382	1.4093380872681066e-9
MRPS18C	1.995864193237293e-14	0.5324963022865454	0.697	0.397	3.96199000999535e-10
C1orf122	8.593492019385508e-12	0.5316004575416314	0.453	0.216	1.7058941007682173e-7
UQCR10	5.088797285921026e-14	0.5305637872918547	0.933	0.758	1.0101771492281828e-9
SYPL1	3.6596210689113474e-14	0.5298206006513485	0.593	0.306	7.264713783895916e-10
PHLDA3	1.0729738599872423e-17	0.5272951759242678	0.273	0.044	2.1299604094606749e-13
DYNC1LI2	4.954904374808832e-12	0.5272924600502953	0.543	0.299	9.835980674433012e-8
SMDT1	2.759566542566788e-11	0.5268065658482872	0.887	0.688	5.47801554364933e-7
ZNF556	3.815129879160964e-15	0.5262485695819554	0.243	0.039	7.573414323122429e-11
C16orf74	7.061558362146284e-14	0.5240499784074008	0.17	0.013	1.4017899504696588e-9
H3-3A	1.0459531749856624e-22	0.5238084718746849	1	0.997	2.0763216476640384e-18
CALM3	6.36513320768987e-13	0.5229556416757635	0.65	0.371	1.263542593058516e-8
LSM2	1.122762263148773e-12	0.522788410161127	0.623	0.377	2.2287953685766294e-8
SHQ1	3.9533291711172043e-10	0.5223933396358554	0.38	0.171	7.847753737584762e-6
GOLGB1	1.2631690440947794e-5	0.5209553933567586	0.727	0.597	0.25075168694325467
BTNL9	5.856350654979727e-15	0.5207005892578275	0.183	0.013	1.1625441685200256e-10
TOX2	4.2191089319732863e-17	0.5202991189087975	0.3	0.057	8.37535314086017e-13
RAB37	3.698807470951796e-17	0.520236019509787	0.317	0.068	7.34250271058641e-13
SYNC	1.0507404455826022e-9	0.5201381700162994	0.423	0.218	2.0858248585260235e-5
ABRACL	1.4026464394144147e-12	0.5199531915195101	0.827	0.639	2.7843934468815544e-8
CBX3	2.771280784399385e-13	0.5189226767217896	0.877	0.66	5.5012694851112194e-9
TMEM263	7.975787700072659e-11	0.5186677456929927	0.58	0.338	1.5832736163414235e-6
CD63	7.360681617890178e-12	0.5167309027457807	0.853	0.623	1.4611689079673794e-7
NT5DC2	5.923543862314398e-14	0.5148669018596407	0.32	0.094	1.1758826921080312e-9
SYCP2L	7.492050784405631e-8	0.513354412256525	0.327	0.158	0.001487247001212362
SEMA5A	6.602039953875878e-13	0.5118797727973678	0.287	0.075	1.3105709512439006e-8
CBLB	2.1953490820144291e-13	0.5113659724081081	0.41	0.156	4.3579874627068435e-9
ISG20	4.504190860441211e-8	0.5111011366831436	0.48	0.278	8.941269277061848e-4
CDK4	1.2555342176153817e-10	0.51012344546152	0.417	0.205	2.4923609753882944e-6
EAF2	5.850302628185829e-10	0.5089106707153418	0.62	0.403	1.1613435747211689e-5
ONECUT2	3.96056917314216e-12	0.5076547780686946	0.133	0.005	7.862125865604503e-8
DDAH2	8.619446773023757e-12	0.507095075778651	0.82	0.605	1.711046378912946e-7
UFC1	1.5391474082636684e-13	0.5066042483712716	0.883	0.691	3.055361520144208e-9
CHI3L2	4.1229116907180725e-16	0.5065933370854911	0.183	0.008	8.184391997244446e-12
SEC62	5.497076268937463e-11	0.5060548113770897	0.93	0.818	1.0912246101467757e-6
ATP5MC2	2.570344843937107e-14	0.5054637762894223	0.967	0.836	5.102391549699551e-10
CLIC1	1.0331223605098375e-15	0.5049559816576119	0.943	0.81	2.0508511978480786e-11
SLC25A4	4.201313345997528e-15	0.503893198577539	0.36	0.112	8.340027123139693e-11
EIF1AX	3.598131383390391e-11	0.5005609436327143	0.767	0.574	7.142650609168264e-7
PAPSS1	1.2779924464177205e-13	0.5002816824823749	0.373	0.132	2.536942805383817e-9
MDM2	2.0216389847524154e-6	0.5002007329681213	0.5	0.353	0.0401315554863202
SSU72	1.1658239960260764e-11	0.5001334555705914	0.717	0.46	2.314277214511364e-7
PDIA6	1.376459327177955e-12	0.49984182860555615	0.93	0.79	2.7324094103809586e-8
MCUB	4.749768162427544e-11	0.49940417941645454	0.677	0.431	9.428764779234918e-7
FAM89B	3.927048370118966e-11	0.4974565500531323	0.597	0.356	7.79558371952316e-7
MBTPS1	1.29787250104003e-10	0.4957600994927336	0.58	0.335	2.5764067018145633e-6
AP1S1	5.9822755762775894e-12	0.4954278446142441	0.443	0.208	1.1875415246468643e-7
SNRPN	5.001555384778494e-8	0.4949425093345181	0.667	0.514	9.928587594323789e-4
ANKRD12	8.52636040390548e-14	0.49465330923123174	0.967	0.912	1.692567803779277e-9
PDE3B	2.6506308255295305e-13	0.49426328451965856	0.387	0.143	5.261767251758671e-9
METTL26	1.2414897481995737e-9	0.4940710968791008	0.573	0.361	2.464481299150974e-5
CCDC90B	4.422957005644384e-11	0.4922246996930766	0.52	0.288	8.780011951904667e-7
ACP1	3.280319452352314e-12	0.4917714461206124	0.747	0.519	6.511762144864579e-8
CHST2	1.1294110145961881e-13	0.4903455262448505	0.293	0.078	2.241993805074893e-9
RNH1	4.464446906463164e-10	0.4902806602555556	0.72	0.535	8.862373554020027e-6
SIX4	5.425471408395103e-16	0.48971497468092967	0.173	0.005	1.077010329280512e-11
GPATCH11	6.450408368789882e-10	0.4887009903774677	0.77	0.543	1.2804705652884795e-5
ZNF428	1.5589409071635514e-11	0.4884698574051116	0.677	0.429	3.094653594810366e-7
PHB	9.319949303708642e-9	0.4865298215873728	0.88	0.777	1.8501031362792026e-4
RNF175	9.485992592785987e-16	0.48607816933162773	0.17	0.005	1.8830643895939462e-11
AKR1B1	2.2548828393613605e-11	0.4855105128065277	0.417	0.192	4.4761679244162365e-7
NBDY	1.833826221101759e-9	0.48541187552836473	0.733	0.525	3.640328431509102e-5
P4HA2	6.059282435544206e-19	0.48126018020942996	0.203	0.005	1.2028281562798803e-14
BAIAP2L1	1.5370875450069124e-17	0.48054563340295886	0.223	0.018	3.051272485593222e-13
